id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
126,1,1,1,http://dns3.ttmc.edu.cn,dns3.ttmc.edu.cn,1,dns3.ttmc.edu.cn,124.31.216.21,1,1,80,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
144,1,1,1,https://dns3.ttmc.edu.cn,dns3.ttmc.edu.cn,1,dns3.ttmc.edu.cn,124.31.216.21,1,1,443,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
115,1,1,1,http://dns4.ttmc.edu.cn,dns4.ttmc.edu.cn,1,dns4.ttmc.edu.cn,124.31.216.21,1,1,80,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
127,1,1,1,https://dns4.ttmc.edu.cn,dns4.ttmc.edu.cn,1,dns4.ttmc.edu.cn,124.31.216.21,1,1,443,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
102,1,1,1,http://dns5.ttmc.edu.cn,dns5.ttmc.edu.cn,1,dns5.ttmc.edu.cn,124.31.216.21,1,1,80,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
136,1,1,1,https://dns5.ttmc.edu.cn,dns5.ttmc.edu.cn,1,dns5.ttmc.edu.cn,124.31.216.21,1,1,443,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
128,1,1,1,http://e29ff1432c046926.car40.eng.ehall.ttmc.edu.cn,e29ff1432c046926.car40.eng.ehall.ttmc.edu.cn,4,e29ff1432c046926.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
142,1,1,1,https://e29ff1432c046926.car40.eng.ehall.ttmc.edu.cn,e29ff1432c046926.car40.eng.ehall.ttmc.edu.cn,4,e29ff1432c046926.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
153,1,1,1,http://e39ff1433c046936.car40.eng.ehall.ttmc.edu.cn,e39ff1433c046936.car40.eng.ehall.ttmc.edu.cn,4,e39ff1433c046936.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
160,1,1,1,https://e39ff1433c046936.car40.eng.ehall.ttmc.edu.cn,e39ff1433c046936.car40.eng.ehall.ttmc.edu.cn,4,e39ff1433c046936.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
88,1,1,1,http://e56ff1435c046956.car40.eng.ehall.ttmc.edu.cn,e56ff1435c046956.car40.eng.ehall.ttmc.edu.cn,4,e56ff1435c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
110,1,1,1,https://e56ff1435c046956.car40.eng.ehall.ttmc.edu.cn,e56ff1435c046956.car40.eng.ehall.ttmc.edu.cn,4,e56ff1435c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
134,1,1,1,http://e57ff1435c046956.car40.eng.ehall.ttmc.edu.cn,e57ff1435c046956.car40.eng.ehall.ttmc.edu.cn,4,e57ff1435c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
148,1,1,1,https://e57ff1435c046956.car40.eng.ehall.ttmc.edu.cn,e57ff1435c046956.car40.eng.ehall.ttmc.edu.cn,4,e57ff1435c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
